continent,country,value
South America,Argentina,128182
South America,Aruba,16000
Oceania,Australia,181
Europe,Austria,29
Europe,Belgium,391
South America,Brazil,120807
North America,Canada,3550
South America,Chile,288233
South America,Colombia,1174375
North America,Costa Rica,5709
North America,Curacao,26000
Europe,Czech Rep.,7
Europe,Denmark,21
North America,Dominican Rep.,26500
South America,Ecuador,262572
Europe,Finland,12
Europe,France,707
Europe,Germany,652
Europe,Greece,40
North America,Guatemala,34
South America,Guyana,36400
North America,Honduras,6
Europe,Iceland,14
Europe,Ireland,90
Europe,Italy,1667
Europe,Luxembourg,10
Europe,Malta,66
North America,Mexico,52348
Europe,Netherlands,128
Europe,Norway,30
North America,Panama,99514
South America,Paraguay,916
South America,Peru,656274
Asia,Rep. of Korea,8
Europe,Spain,31692
South America,Suriname,40
Europe,Sweden,154
Europe,Switzerland,45
South America,Trinidad and Tobago,40000
Europe,United Kingdom,62
North America,United States of America,93059
South America,Uruguay,11673